MMDD MAX MIN AVG DEP HDD CDD  WTR  SNW DPTH AVGW MW DIR MIN PSBL S-S WX    SPD DR2
0305  28   7  18 -13  47   0 0.00  0.0    4  6.9 18 300   M    M   4        22 310
0306  22   9  16 -15  49   0    T    T    3 10.8 29 280   M    M   3        35 290
0307  26   4  15 -17  50   0    T    T    3  6.5 28 280   M    M   4        36 280
0308  34   7  21 -11  44   0 0.00  0.0    3  3.7 12 210   M    M   3        16 180
0309  42  12  27  -5  38   0 0.00  0.0    3  2.5 12 360   M    M   2        19  40
0310  38  28  33   0  32   0 0.27  1.8    4  9.5 20 160   M    M  10 14     32 150
0311  43  34  39   6  26   0    T    T    3 14.5 32 290   M    M   9 1      42 290
0312  38  27  33   0  32   0    T    T    1 14.3 24 300   M    M   6        32 280
0313  44  21  33  -1  32   0 0.01    T    1  4.8 13 170   M    M   6 4      15 180
0314  59  39  49  15  16   0 0.00  0.0    0 11.0 22 160   M    M   9        30 170
0315  72  44  58  24   7   0 0.03  0.0    0 13.5 26 250   M    M   6        33 270
0316  46  31  39   4  26   0    T    M    0 13.8 31 290   M    M   8 8      40 290
0317  36  26  31  -4  34   0    T    T    0 11.2 25 280   M    M   8        36 290
0318  42  25  34  -2  31   0    T    T    0  9.2 23 290   M    M   6        38 290
0319  45  24  35  -1  30   0 0.00  0.0    0  7.4 22 280   M    M   3        26 270
0320  55  27  41   5  24   0 0.00  0.0    0  7.9 17 170   M    M   4        24 170
0321  48  38  43   6  22   0 0.06  0.0    0  8.7 18 160   M    M   9        25 150
0322  43  30  37   0  28   0 0.34    T    0 16.1 29 290   M    M  10 1      39 290
0323  37  28  33  -5  32   0    M  0.4    0 21.0 36 300   M    M   5        47 300
0324  57  26  42   4  23   0 0.00  0.0    0  8.0 21 270   M    M   4        28 280
0325  46  28  37  -2  28   0 0.00  0.0    0  9.5 18 290   M    M   5        24 280
0326  45  21  33  -6  32   0 0.00  0.0    0  8.3 20 280   M    M   0        25 280
0327  50  22  36  -4  29   0 0.00  0.0    0  5.6 20 180   M    M   3        25 170
0328  55  33  44   4  21   0    T  0.0    0 15.0 26 190   M    M   7        36 170
0329  51  44  48   8  17   0 0.24  0.0    0  7.0 15 180   M    M  10        20 190
0330  71  42  57  16   8   0    T  0.0    0 11.2 28 170   M    M   9        37 180
0331  60  35  48   7  17   0 0.12  0.0    0 17.9 32 290   M    M   8        41 270
0401  42  26  34  -8  31   0 0.00  0.0    0 14.0 28 270   M    M   3        37 290
0402  53  22  38  -4  27   0 0.00  0.0    0  9.5 25 170   M    M   7        34 200
0403  62  32  47   4  18   0    T  0.0    0 11.7 35 280   M    M   5        43 290
0404  47  30  39  -4  26   0 0.00  0.0    0 16.5 31 270   M    M   3        40 270
0405  42  25  34 -10  31   0 0.26  2.1    0  8.0 21 170   M    M   9 14     30 160
0406  59  35  47   3  18   0 0.00  0.0    1  6.1 21 320   M    M   7        32 290
0407  68  34  51   7  14   0    T  0.0    0  4.0 15 170   M    M   8        21 180
0408  59  44  52   7  13   0 0.29  0.0    0  7.2 20 160   M    M  10 1      29 160
0409  65  41  53   8  12   0 0.29  0.0    0  9.6 36 180   M    M   6 13     48 170
0410  50  32  41  -5  24   0 0.00  0.0    0 12.8 25 270   M    M   8        35 290
0411  50  29  40  -6  25   0 0.00  0.0    0  3.7 10 330   M    M   6        13 320
0412  60  40  50   4  15   0 0.07  0.0    0 11.5 28 180   M    M  10        40 190
0413  74  52  63  16   2   0 0.04  0.0    0  8.0 22 180   M    M   7        29 170
0414  59  45  52   5  13   0 0.36  0.0    0  5.0 14 320   M    M   9 1      16  30
0415  63  41  52   4  13   0 1.28  0.0    0 14.6 37 280   M    M   9 13     45 300
0416  58  37  48   0  17   0 0.00  0.0    0 16.5 28 280   M    M   5        38 290
0417  62  32  47  -2  18   0 0.00  0.0    0  3.5 14 170   M    M   4 1      19 170
0418  58  46  52   3  13   0 0.04  0.0    0 13.7 25 190   M    M  10        36 170
0419  77  55  66  17   0   1 0.14  0.0    0 14.2 25 190   M    M   8 8      36 170
0420  71  60  66  16   0   1 0.45  0.0    0 14.4 28 170   M    M   8 1      38 150
0421  72  52  62  12   3   0 0.00  0.0    0  8.5 17 190   M    M   8        24 170
0422  74  51  63  13   2   0 0.00  0.0    0  9.7 21 340   M    M   7        26 340
